Date,Close,Returns,Sorted Returns,,Replication,Simulated Returns,,Calculation of Value at Risk,,,,
12-07-2021,948.29,-33.16%,0.62%,,374,2.21%,,,,,,
14-05-2025,1418.73,24.78%,0.61%,,375,0.81%,,,,,,
04-11-2021,1137.01,2.53%,0.61%,,376,1.07%,,,,,,
19-07-2022,1108.91,-22.35%,0.61%,,377,0.54%,,,,,,
23-02-2026,1428.00,1.00%,0.61%,,378,1.83%,,,,,,
17-09-2025,1413.80,-2.18%,0.60%,,379,2.85%,,,,,,
06-08-2024,1445.35,-0.60%,0.60%,,380,3.23%,,,,,,
07-08-2024,1454.06,-0.72%,0.60%,,381,3.24%,,,,,,
12-03-2024,1464.59,24.01%,0.60%,,382,1.07%,,,,,,
30-06-2022,1181.05,0.51%,0.60%,,383,-1.55%,,,,,,
10-08-2022,1175.07,-16.47%,0.60%,,384,2.24%,,,,,,
26-02-2026,1406.80,1.82%,0.59%,,385,1.25%,,,,,,
18-08-2025,1381.70,13.82%,0.58%,,386,1.69%,,,,,,
12-10-2021,1213.88,-2.75%,0.57%,,387,2.98%,,,,,,
07-08-2023,1248.24,-1.81%,0.57%,,388,0.41%,,,,,,
21-03-2025,1271.27,10.20%,0.57%,,389,-0.80%,,,,,,
13-01-2022,1153.59,0.26%,0.56%,,390,2.45%,,,,,,
29-05-2023,1150.65,-19.48%,0.56%,,391,3.59%,,,,,,
26-05-2025,1429.09,22.05%,0.56%,,392,1.93%,,,,,,
22-11-2022,1170.94,-18.66%,0.55%,,393,2.18%,,,,,,
08-02-2024,1439.47,-2.95%,0.55%,,394,2.18%,,,,,,
12-01-2026,1483.20,23.30%,0.54%,,395,1.29%,,,,,,
05-09-2023,1202.90,7.33%,0.54%,,396,-0.83%,,,,,,
22-05-2023,1120.70,-5.82%,0.53%,,397,0.47%,,,,,,
07-11-2022,1189.90,-21.66%,0.53%,,398,2.27%,,,,,,
14-11-2025,1518.90,-1.69%,0.53%,,399,1.05%,,,,,,
11-12-2025,1545.00,62.62%,0.53%,,400,1.51%,,,,,,
10-08-2021,950.09,-36.01%,0.52%,,401,3.56%,,,,,,
24-07-2024,1484.71,22.43%,0.52%,,402,3.37%,,,,,,
17-08-2022,1212.68,4.42%,0.52%,,403,0.18%,,,,,,
17-01-2022,1161.30,14.08%,0.52%,,404,0.21%,,,,,,
21-06-2021,1017.98,-12.20%,0.52%,,405,-0.12%,,,,,,
08-11-2023,1159.37,-10.04%,0.52%,,406,3.16%,,,,,,
04-01-2024,1288.79,-11.17%,0.52%,,407,2.26%,,,,,,
06-02-2026,1450.80,34.24%,0.51%,,408,1.96%,,,,,,
17-04-2023,1080.73,-27.47%,0.51%,,409,3.62%,,,,,,
20-08-2024,1490.00,16.45%,0.51%,,410,0.80%,,,,,,
26-12-2023,1279.55,-13.98%,0.51%,,411,3.03%,,,,,,
23-09-2024,1487.43,3.27%,0.50%,,412,-0.68%,,,,,,
21-03-2024,1440.31,18.40%,0.50%,,413,0.10%,,,,,,
13-09-2023,1216.52,13.30%,0.50%,,414,3.11%,,,,,,
19-04-2023,1073.68,-19.47%,0.50%,,415,2.92%,,,,,,
01-11-2024,1333.32,25.01%,0.50%,,416,0.74%,,,,,,
11-04-2023,1066.54,-30.60%,0.49%,,417,2.55%,,,,,,
10-12-2025,1536.90,31.31%,0.49%,,418,0.51%,,,,,,
07-10-2021,1170.47,-11.93%,0.49%,,419,1.39%,,,,,,
28-10-2024,1329.04,13.69%,0.49%,,420,-0.43%,,,,,,
17-10-2023,1168.97,-3.90%,0.48%,,421,0.97%,,,,,,
01-01-2025,1216.39,-10.42%,0.48%,,422,-0.11%,,,,,,
18-01-2024,1357.90,20.84%,0.47%,,423,0.91%,,,,,,
05-01-2022,1123.70,9.50%,0.47%,,424,1.16%,,,,,,
28-03-2023,1026.20,-11.83%,0.47%,,425,1.78%,,,,,,
29-09-2023,1163.89,-15.86%,0.47%,,426,1.03%,,,,,,
11-09-2025,1383.30,-4.77%,0.46%,,427,2.40%,,,,,,
12-06-2024,1452.57,21.22%,0.46%,,428,2.74%,,,,,,
13-12-2022,1198.30,-2.43%,0.46%,,429,3.86%,,,,,,
20-02-2025,1228.10,21.27%,0.45%,,430,0.78%,,,,,,
18-06-2021,1012.70,-26.22%,0.45%,,431,0.75%,,,,,,
03-09-2025,1372.60,9.42%,0.45%,,432,5.44%,,,,,,
10-08-2023,1254.48,9.49%,0.45%,,433,1.48%,,,,,,
10-10-2023,1145.72,6.95%,0.44%,,434,-0.65%,,,,,,
12-04-2023,1071.24,-29.07%,0.44%,,435,2.62%,,,,,,
02-09-2024,1510.22,38.02%,0.44%,,436,-1.37%,,,,,,
21-09-2021,1094.17,-22.14%,0.43%,,437,4.42%,,,,,,
16-09-2025,1405.30,8.58%,0.43%,,438,0.50%,,,,,,
05-01-2024,1294.27,-11.58%,0.43%,,439,1.69%,,,,,,
19-09-2024,1463.83,9.68%,0.43%,,440,1.46%,,,,,,
29-10-2024,1334.67,20.20%,0.42%,,441,0.19%,,,,,,
07-10-2022,1110.36,-11.86%,0.42%,,442,2.06%,,,,,,
11-08-2023,1259.77,13.09%,0.42%,,443,1.66%,,,,,,
17-02-2023,1113.94,2.94%,0.42%,,444,0.54%,,,,,,
15-09-2021,1082.16,-5.10%,0.42%,,445,0.25%,,,,,,
01-11-2023,1140.26,-21.84%,0.42%,,446,5.91%,,,,,,
14-01-2026,1458.80,18.65%,0.41%,,447,2.05%,,,,,,
28-01-2025,1229.49,1.78%,0.41%,,448,1.34%,,,,,,
13-12-2023,1208.03,-5.11%,0.41%,,449,1.98%,,,,,,
27-03-2025,1273.12,29.45%,0.40%,,450,1.32%,,,,,,
01-06-2021,983.45,-4.66%,0.40%,,451,1.89%,,,,,,
01-09-2021,1031.56,-29.31%,0.40%,,452,2.73%,,,,,,
19-04-2024,1459.32,30.42%,0.40%,,453,1.23%,,,,,,
27-10-2022,1118.94,-7.57%,0.39%,,454,1.08%,,,,,,
31-12-2024,1210.61,2.13%,0.39%,,455,-0.84%,,,,,,
22-11-2023,1185.33,-16.52%,0.39%,,456,1.23%,,,,,,
31-05-2024,1419.89,43.63%,0.39%,,457,1.14%,,,,,,
18-08-2021,988.58,-8.26%,0.39%,,458,2.33%,,,,,,
31-12-2021,1077.54,0.10%,0.38%,,459,1.03%,,,,,,
24-04-2023,1076.42,7.44%,0.38%,,460,2.70%,,,,,,
03-06-2021,1001.92,-14.81%,0.38%,,461,1.43%,,,,,,
02-08-2022,1176.05,-14.63%,0.38%,,462,2.87%,,,,,,
26-09-2025,1377.60,-3.72%,0.38%,,463,0.59%,,,,,,
30-04-2026,1430.80,2.24%,0.38%,,464,1.71%,,,,,,
30-04-2025,1399.41,24.35%,0.38%,,465,1.09%,,,,,,
18-11-2021,1125.38,4.66%,0.38%,,466,1.50%,,,,,,
13-04-2023,1075.28,-7.81%,0.38%,,467,0.12%,,,,,,
03-11-2022,1166.42,-4.09%,0.37%,,468,-0.04%,,,,,,
27-12-2024,1216.19,9.99%,0.37%,,469,2.58%,,,,,,
06-10-2022,1105.68,11.70%,0.37%,,470,0.93%,,,,,,
10-06-2021,989.84,-31.41%,0.37%,,471,1.29%,,,,,,
09-06-2025,1443.04,24.94%,0.37%,,472,2.51%,,,,,,
18-05-2022,1154.98,-14.73%,0.36%,,473,1.83%,,,,,,
22-05-2026,1354.50,-10.21%,0.36%,,474,3.10%,,,,,,
04-09-2024,1508.53,36.70%,0.36%,,475,0.62%,,,,,,
08-03-2023,1103.51,-23.90%,0.36%,,476,1.79%,,,,,,
29-02-2024,1450.07,2.68%,0.36%,,477,3.06%,,,,,,
29-05-2025,1412.16,3.18%,0.35%,,478,2.82%,,,,,,
01-10-2025,1368.70,14.99%,0.34%,,479,2.20%,,,,,,
24-05-2022,1190.24,-7.30%,0.34%,,480,3.76%,,,,,,
27-12-2023,1283.92,13.42%,0.34%,,481,0.71%,,,,,,
24-10-2022,1132.04,-3.98%,0.33%,,482,2.35%,,,,,,
11-08-2022,1178.98,-25.17%,0.33%,,483,0.72%,,,,,,
01-01-2026,1575.60,2.27%,0.33%,,484,1.34%,,,,,,
05-12-2025,1540.60,38.20%,0.33%,,485,1.50%,,,,,,
19-05-2023,1114.74,-21.69%,0.32%,,486,3.58%,,,,,,
21-05-2025,1423.51,-8.38%,0.32%,,487,3.26%,,,,,,
02-07-2024,1553.68,5.31%,0.32%,,488,1.74%,,,,,,
09-01-2026,1475.30,36.65%,0.32%,,489,1.60%,,,,,,
24-12-2021,1079.65,-6.55%,0.32%,,490,0.64%,,,,,,
23-03-2022,1155.37,6.22%,0.32%,,491,1.93%,,,,,,
13-10-2022,1087.74,-22.05%,0.32%,,492,2.21%,,,,,,
30-01-2026,1395.40,23.28%,0.32%,,493,2.84%,,,,,,
09-05-2023,1131.91,-19.11%,0.31%,,494,2.41%,,,,,,
15-09-2025,1399.30,-5.96%,0.31%,,495,2.51%,,,,,,
25-09-2024,1488.01,66.07%,0.31%,,496,1.29%,,,,,,
27-05-2021,896.03,-24.64%,0.31%,,497,2.66%,,,,,,
23-11-2023,1188.95,14.40%,0.31%,,498,1.74%,,,,,,
22-03-2023,1039.26,-14.25%,0.30%,,499,2.18%,,,,,,
04-04-2022,1212.02,-9.45%,0.30%,,500,2.91%,,,,,,
30-10-2024,1338.55,9.00%,0.29%,,501,-0.53%,,,,,,
06-12-2022,1228.07,12.50%,0.29%,,502,0.40%,,,,,,
11-03-2022,1091.64,-22.68%,0.29%,,503,2.51%,,,,,,
24-03-2026,1411.80,2.18%,0.28%,,504,1.65%,,,,,,
10-10-2025,1381.70,18.03%,0.28%,,505,1.16%,,,,,,
21-06-2023,1170.59,-18.95%,0.28%,,506,2.52%,,,,,,
22-03-2024,1444.33,26.07%,0.28%,,507,1.47%,,,,,,
21-09-2022,1145.69,-23.28%,0.28%,,508,4.51%,,,,,,
11-11-2025,1493.40,30.83%,0.28%,,509,1.19%,,,,,,
20-10-2022,1141.52,-23.49%,0.27%,,510,1.00%,,,,,,
26-09-2024,1491.99,17.29%,0.27%,,511,1.66%,,,,,,
22-01-2025,1272.02,3.25%,0.27%,,512,2.87%,,,,,,
18-10-2021,1231.99,4.35%,0.27%,,513,1.69%,,,,,,
09-04-2025,1180.63,-0.91%,0.27%,,514,3.78%,,,,,,
29-11-2023,1191.53,-23.99%,0.26%,,515,0.84%,,,,,,
28-11-2025,1567.50,22.80%,0.26%,,516,1.41%,,,,,,
06-02-2025,1276.45,7.59%,0.26%,,517,1.76%,,,,,,
17-11-2022,1186.46,-1.32%,0.26%,,518,2.01%,,,,,,
27-02-2025,1202.30,-12.78%,0.26%,,519,4.11%,,,,,,
08-09-2025,1378.50,-0.70%,0.25%,,520,5.19%,,,,,,
01-08-2025,1388.16,-9.84%,0.25%,,521,0.20%,,,,,,
25-11-2025,1539.70,18.43%,0.25%,,522,-1.59%,,,,,,
05-11-2024,1300.11,-7.96%,0.24%,,523,0.42%,,,,,,
25-08-2025,1412.60,8.64%,0.24%,,524,0.19%,,,,,,
20-01-2025,1300.26,-11.56%,0.24%,,525,3.53%,,,,,,
18-06-2024,1470.14,22.77%,0.24%,,526,1.14%,,,,,,
01-09-2023,1197.46,16.97%,0.23%,,527,3.01%,,,,,,
15-06-2021,1023.78,-28.29%,0.23%,,528,0.17%,,,,,,
19-06-2025,1427.60,-1.65%,0.22%,,529,1.95%,,,,,,
24-10-2025,1451.60,6.59%,0.22%,,530,-0.27%,,,,,,
14-05-2026,1361.80,-3.78%,0.22%,,531,1.75%,,,,,,
30-05-2025,1415.25,4.53%,0.22%,,532,4.23%,,,,,,
18-10-2024,1353.89,12.32%,0.21%,,533,0.45%,,,,,,
06-09-2023,1205.43,3.27%,0.21%,,534,2.18%,,,,,,
20-06-2023,1167.31,6.29%,0.21%,,535,1.20%,,,,,,
04-07-2022,1098.26,-24.41%,0.21%,,536,1.81%,,,,,,
13-08-2024,1452.87,13.01%,0.21%,,537,-0.24%,,,,,,
01-01-2024,1285.61,18.54%,0.21%,,538,1.46%,,,,,,
02-02-2022,1084.54,-11.73%,0.20%,,539,4.02%,,,,,,
14-10-2021,1228.71,8.13%,0.20%,,540,-0.64%,,,,,,
15-05-2023,1136.33,3.98%,0.20%,,541,0.57%,,,,,,
15-07-2022,1092.85,-26.50%,0.19%,,542,0.48%,,,,,,
28-10-2025,1486.90,29.41%,0.19%,,543,1.53%,,,,,,
10-11-2023,1148.95,-8.93%,0.19%,,544,3.87%,,,,,,
07-06-2022,1261.63,5.53%,0.19%,,545,3.34%,,,,,,
22-10-2021,1195.50,-19.87%,0.19%,,546,1.33%,,,,,,
06-03-2024,1491.96,27.95%,0.19%,,547,2.67%,,,,,,
12-10-2023,1166.07,-4.41%,0.19%,,548,1.89%,,,,,,
15-09-2023,1219.90,21.00%,0.19%,,549,3.33%,,,,,,
17-06-2021,1008.15,-13.27%,0.18%,,550,4.62%,,,,,,
11-11-2021,1162.35,-22.13%,0.18%,,551,1.73%,,,,,,
21-08-2024,1492.71,22.87%,0.18%,,552,1.47%,,,,,,
18-08-2022,1214.87,3.69%,0.18%,,553,4.31%,,,,,,
16-11-2023,1171.68,-16.17%,0.18%,,554,2.12%,,,,,,
17-03-2026,1397.60,21.71%,0.18%,,555,1.70%,,,,,,
01-10-2021,1148.31,6.77%,0.18%,,556,-0.61%,,,,,,
09-02-2023,1075.53,-20.39%,0.17%,,557,1.10%,,,,,,
17-10-2024,1351.03,9.12%,0.17%,,558,-1.23%,,,,,,
29-11-2022,1238.11,13.26%,0.17%,,559,-0.11%,,,,,,
29-12-2021,1093.17,-4.98%,0.17%,,560,1.87%,,,,,,
06-10-2023,1150.48,-5.90%,0.17%,,561,1.27%,,,,,,
19-02-2025,1222.57,7.80%,0.17%,,562,2.67%,,,,,,
12-05-2023,1134.10,-17.65%,0.16%,,563,1.43%,,,,,,
13-08-2025,1377.10,26.40%,0.16%,,564,2.54%,,,,,,
20-09-2021,1089.46,-29.39%,0.16%,,565,-0.26%,,,,,,
08-12-2025,1543.00,32.70%,0.16%,,566,2.64%,,,,,,
30-12-2022,1162.79,-2.52%,0.15%,,567,1.29%,,,,,,
12-12-2022,1192.87,-17.77%,0.15%,,568,2.81%,,,,,,
16-05-2025,1450.61,18.84%,0.15%,,569,1.29%,,,,,,
11-12-2023,1220.64,-17.30%,0.15%,,570,0.46%,,,,,,
02-04-2024,1476.03,27.76%,0.15%,,571,-0.35%,,,,,,
14-01-2022,1155.28,-17.02%,0.15%,,572,2.20%,,,,,,
12-03-2026,1392.20,17.96%,0.14%,,573,2.10%,,,,,,
08-09-2022,1180.23,8.47%,0.14%,,574,0.83%,,,,,,
08-07-2022,1088.12,-29.54%,0.14%,,575,2.49%,,,,,,
17-12-2025,1544.40,27.95%,0.14%,,576,0.11%,,,,,,
07-09-2023,1207.07,-17.11%,0.14%,,577,3.18%,,,,,,
30-04-2024,1456.22,0.12%,0.13%,,578,3.25%,,,,,,
13-06-2024,1454.48,27.32%,0.13%,,579,1.03%,,,,,,
19-09-2022,1142.36,6.53%,0.13%,,580,3.53%,,,,,,
21-04-2023,1072.31,-5.81%,0.13%,,581,0.02%,,,,,,
08-11-2021,1138.42,-23.80%,0.12%,,582,3.83%,,,,,,
23-08-2024,1494.01,15.24%,0.12%,,583,3.30%,,,,,,
24-04-2025,1296.42,2.15%,0.12%,,584,3.44%,,,,,,
12-11-2024,1269.18,-14.22%,0.12%,,585,0.89%,,,,,,
15-07-2025,1479.49,18.19%,0.11%,,586,-1.29%,,,,,,
23-08-2023,1251.83,-0.92%,0.11%,,587,1.31%,,,,,,
12-07-2023,1263.47,-18.10%,0.11%,,588,1.79%,,,,,,
04-07-2024,1542.61,37.87%,0.10%,,589,-0.79%,,,,,,
10-12-2021,1118.85,-23.40%,0.10%,,590,0.74%,,,,,,
10-06-2024,1460.59,14.73%,0.10%,,591,4.42%,,,,,,
22-12-2023,1273.10,0.71%,0.10%,,592,3.33%,,,,,,
27-04-2022,1264.18,-5.27%,0.10%,,593,2.34%,,,,,,
24-10-2024,1334.47,10.07%,0.10%,,594,2.24%,,,,,,
14-02-2025,1212.41,-14.20%,0.09%,,595,-0.36%,,,,,,
25-03-2026,1413.10,16.05%,0.09%,,596,0.13%,,,,,,
14-09-2023,1217.64,-1.05%,0.09%,,597,3.42%,,,,,,
29-01-2025,1230.59,8.52%,0.09%,,598,1.90%,,,,,,
12-06-2023,1134.01,6.66%,0.09%,,599,0.53%,,,,,,
03-02-2023,1063.18,-8.55%,0.09%,,600,0.54%,,,,,,
26-09-2023,1162.64,22.39%,0.09%,,601,-0.43%,,,,,,
29-06-2021,949.97,-32.86%,0.09%,,602,1.87%,,,,,,
18-09-2025,1415.00,25.02%,0.08%,,603,0.50%,,,,,,
06-06-2023,1131.81,2.03%,0.08%,,604,2.55%,,,,,,
10-01-2022,1109.32,-20.04%,0.08%,,605,-1.24%,,,,,,
06-08-2025,1387.26,1.51%,0.08%,,606,3.52%,,,,,,
11-10-2024,1366.64,-4.95%,0.08%,,607,1.37%,,,,,,
06-06-2025,1437.76,-5.37%,0.08%,,608,2.75%,,,,,,
18-11-2025,1519.40,9.63%,0.07%,,609,3.31%,,,,,,
28-08-2025,1385.90,-1.11%,0.07%,,610,3.65%,,,,,,
08-05-2025,1401.40,1.85%,0.07%,,611,0.41%,,,,,,
14-10-2025,1375.90,-6.17%,0.07%,,612,4.33%,,,,,,
17-09-2024,1466.44,-5.95%,0.06%,,613,2.35%,,,,,,
26-12-2025,1559.20,7.16%,0.06%,,614,3.89%,,,,,,
16-04-2024,1454.98,26.00%,0.06%,,615,0.46%,,,,,,
01-11-2021,1154.73,1.20%,0.06%,,616,3.48%,,,,,,
08-06-2023,1141.08,-17.13%,0.06%,,617,1.93%,,,,,,
10-09-2025,1377.00,-3.63%,0.06%,,618,1.60%,,,,,,
24-02-2026,1428.80,29.68%,0.06%,,619,2.94%,,,,,,
26-07-2022,1101.81,-9.73%,0.05%,,620,4.08%,,,,,,
18-02-2025,1220.53,0.22%,0.04%,,621,0.30%,,,,,,
24-12-2024,1217.89,6.87%,0.04%,,622,3.85%,,,,,,
27-06-2023,1139.62,-22.14%,0.04%,,623,1.01%,,,,,,
05-05-2026,1463.60,22.14%,0.03%,,624,-1.04%,,,,,,
01-06-2022,1198.27,-24.42%,0.03%,,625,1.16%,,,,,,
15-07-2024,1585.49,15.98%,0.03%,,626,2.54%,,,,,,
14-10-2024,1367.07,-4.10%,0.03%,,627,3.42%,,,,,,
21-05-2024,1425.57,22.34%,0.03%,,628,2.32%,,,,,,
15-06-2023,1165.23,5.51%,0.03%,,629,3.77%,,,,,,
16-05-2022,1104.41,-7.45%,0.02%,,630,1.06%,,,,,,
29-03-2022,1193.29,0.41%,0.02%,,631,-0.54%,,,,,,
28-11-2023,1188.40,11.66%,0.02%,,632,2.70%,,,,,,
03-04-2023,1064.30,-5.60%,0.02%,,633,-0.59%,,,,,,
21-01-2022,1127.45,-1.32%,0.02%,,634,2.41%,,,,,,
20-09-2022,1142.54,-22.79%,0.02%,,635,2.45%,,,,,,
16-07-2025,1479.69,4.49%,0.01%,,636,1.07%,,,,,,
01-02-2024,1416.17,-8.30%,0.00%,,637,3.60%,,,,,,
18-12-2025,1544.40,25.16%,0.00%,,638,1.25%,,,,,,
18-03-2025,1233.92,-13.76%,0.00%,,639,2.12%,,,,,,
01-05-2026,1430.80,-1.92%,0.00%,,640,2.12%,,,,,,
15-01-2026,1458.80,27.01%,0.00%,,641,2.91%,,,,,,
05-10-2023,1148.55,-1.50%,0.00%,,642,-0.42%,,,,,,
13-10-2023,1166.02,-10.62%,0.00%,,643,3.08%,,,,,,
07-04-2026,1304.60,13.70%,-0.01%,,644,3.46%,,,,,,
19-01-2022,1147.36,-1.22%,-0.01%,,645,0.09%,,,,,,
28-12-2022,1161.53,4.28%,-0.01%,,646,0.89%,,,,,,
25-05-2023,1113.83,-3.04%,-0.01%,,647,0.81%,,,,,,
13-11-2023,1148.80,2.53%,-0.01%,,648,3.37%,,,,,,
23-05-2023,1120.49,-28.00%,-0.02%,,649,1.28%,,,,,,
15-12-2025,1556.20,35.17%,-0.02%,,650,2.91%,,,,,,
03-11-2023,1151.33,-7.93%,-0.02%,,651,1.20%,,,,,,
22-08-2023,1250.44,8.70%,-0.02%,,652,1.23%,,,,,,
30-05-2023,1150.35,-21.75%,-0.03%,,653,-1.80%,,,,,,
18-07-2025,1470.13,0.99%,-0.03%,,654,-0.20%,,,,,,
02-05-2024,1455.78,-4.16%,-0.03%,,655,1.32%,,,,,,
19-11-2025,1518.90,41.13%,-0.03%,,656,-0.76%,,,,,,
23-12-2021,1076.22,-20.71%,-0.04%,,657,1.91%,,,,,,
19-01-2024,1357.40,-9.03%,-0.04%,,658,0.74%,,,,,,
22-08-2024,1492.17,23.19%,-0.04%,,659,-0.12%,,,,,,
13-02-2025,1211.26,-9.33%,-0.04%,,660,3.07%,,,,,,
18-05-2026,1335.90,-12.01%,-0.04%,,661,0.31%,,,,,,
17-11-2025,1518.30,20.54%,-0.04%,,662,1.67%,,,,,,
01-02-2025,1259.57,-16.63%,-0.04%,,663,1.63%,,,,,,
13-11-2025,1510.90,21.59%,-0.04%,,664,0.93%,,,,,,
02-12-2022,1242.65,7.03%,-0.04%,,665,1.65%,,,,,,
29-12-2022,1161.01,-4.00%,-0.05%,,666,1.33%,,,,,,
08-12-2022,1209.37,-14.89%,-0.05%,,667,3.30%,,,,,,
14-03-2024,1420.96,16.58%,-0.05%,,668,3.02%,,,,,,
08-12-2023,1218.85,2.79%,-0.05%,,669,1.74%,,,,,,
18-11-2022,1185.82,-14.68%,-0.05%,,670,2.00%,,,,,,
23-09-2025,1389.80,3.46%,-0.06%,,671,1.34%,,,,,,
16-04-2026,1343.30,-7.86%,-0.06%,,672,1.43%,,,,,,
16-01-2026,1457.90,0.15%,-0.06%,,673,1.06%,,,,,,
10-09-2024,1455.71,18.41%,-0.06%,,674,0.77%,,,,,,
25-07-2023,1229.43,-0.40%,-0.06%,,675,1.02%,,,,,,
16-04-2025,1234.37,-18.35%,-0.06%,,676,0.43%,,,,,,
03-07-2025,1511.76,27.24%,-0.07%,,677,2.87%,,,,,,
24-11-2023,1188.16,-17.21%,-0.07%,,678,-0.58%,,,,,,
08-05-2026,1435.20,-2.62%,-0.07%,,679,2.05%,,,,,,
01-04-2024,1473.87,3.47%,-0.07%,,680,3.46%,,,,,,
18-06-2025,1424.41,28.41%,-0.08%,,681,3.15%,,,,,,
16-02-2023,1109.31,-7.29%,-0.08%,,682,1.31%,,,,,,
04-09-2023,1196.49,-6.06%,-0.08%,,683,1.07%,,,,,,
16-08-2023,1273.62,1.80%,-0.08%,,684,0.48%,,,,,,
14-07-2023,1251.12,-14.63%,-0.08%,,685,0.19%,,,,,,
16-09-2024,1465.50,18.78%,-0.09%,,686,-0.07%,,,,,,
14-01-2025,1233.82,-21.22%,-0.09%,,687,3.39%,,,,,,
01-12-2025,1566.10,20.91%,-0.09%,,688,-2.00%,,,,,,
25-04-2025,1295.23,17.67%,-0.09%,,689,-0.73%,,,,,,
27-07-2022,1100.77,-8.28%,-0.09%,,690,0.59%,,,,,,
30-08-2023,1200.14,12.92%,-0.10%,,691,3.04%,,,,,,
28-01-2022,1062.84,-26.88%,-0.10%,,692,4.02%,,,,,,
18-04-2024,1453.57,22.28%,-0.10%,,693,0.70%,,,,,,
09-11-2022,1188.72,9.72%,-0.10%,,694,3.00%,,,,,,
10-02-2022,1083.41,-3.99%,-0.10%,,695,1.07%,,,,,,
19-01-2023,1128.48,4.64%,-0.11%,,696,1.59%,,,,,,
27-12-2021,1078.49,-26.39%,-0.11%,,697,0.66%,,,,,,
21-10-2025,1465.20,-0.65%,-0.11%,,698,3.67%,,,,,,
27-02-2024,1474.73,-0.67%,-0.11%,,699,5.08%,,,,,,
03-11-2025,1484.70,19.14%,-0.11%,,700,4.05%,,,,,,
02-04-2025,1246.17,-9.32%,-0.12%,,701,5.59%,,,,,,
15-10-2025,1374.30,-4.31%,-0.12%,,702,0.79%,,,,,,
07-05-2026,1436.20,-4.96%,-0.12%,,703,2.91%,,,,,,
10-07-2025,1511.16,16.63%,-0.12%,,704,3.39%,,,,,,
20-07-2023,1295.72,-10.71%,-0.12%,,705,1.25%,,,,,,
14-08-2024,1451.11,6.44%,-0.12%,,706,0.90%,,,,,,
20-04-2026,1363.30,34.34%,-0.12%,,707,0.97%,,,,,,
17-03-2023,1014.84,-5.83%,-0.13%,,708,1.34%,,,,,,
14-09-2021,1077.67,6.33%,-0.13%,,709,2.23%,,,,,,
27-08-2021,1013.49,-31.82%,-0.14%,,710,1.14%,,,,,,
31-10-2025,1486.40,34.96%,-0.14%,,711,0.12%,,,,,,
12-07-2022,1101.33,-26.20%,-0.14%,,712,4.83%,,,,,,
28-08-2024,1492.34,25.57%,-0.14%,,713,0.30%,,,,,,
25-05-2022,1188.49,-15.26%,-0.15%,,714,0.39%,,,,,,
22-01-2026,1402.50,-3.55%,-0.15%,,715,4.49%,,,,,,
15-04-2024,1454.06,-5.98%,-0.16%,,716,1.91%,,,,,,
21-11-2025,1546.60,37.30%,-0.16%,,717,1.18%,,,,,,
13-01-2023,1126.45,-22.67%,-0.16%,,718,2.84%,,,,,,
09-09-2024,1456.63,23.46%,-0.16%,,719,2.35%,,,,,,
05-07-2023,1179.82,-3.25%,-0.16%,,720,1.86%,,,,,,
07-12-2023,1219.50,-1.25%,-0.16%,,721,2.08%,,,,,,
13-01-2025,1234.92,9.31%,-0.17%,,722,0.90%,,,,,,
18-01-2023,1129.69,-17.91%,-0.17%,,723,4.56%,,,,,,
09-09-2025,1376.20,19.82%,-0.17%,,724,1.44%,,,,,,
04-10-2023,1148.57,21.22%,-0.17%,,725,2.49%,,,,,,
15-07-2021,947.49,-17.44%,-0.17%,,726,2.90%,,,,,,
05-01-2023,1147.66,12.83%,-0.18%,,727,1.14%,,,,,,
08-03-2022,1017.18,-21.03%,-0.18%,,728,3.13%,,,,,,
27-11-2024,1288.06,-11.13%,-0.19%,,729,4.26%,,,,,,
05-04-2024,1449.37,20.56%,-0.19%,,730,0.35%,,,,,,
07-07-2023,1202.23,11.18%,-0.20%,,731,0.43%,,,,,,
11-02-2022,1081.29,0.13%,-0.20%,,732,3.99%,,,,,,
25-01-2022,1079.86,-13.18%,-0.20%,,733,3.40%,,,,,,
03-04-2025,1243.73,-14.83%,-0.20%,,734,2.24%,,,,,,
20-02-2024,1460.22,33.00%,-0.20%,,735,1.64%,,,,,,
16-02-2022,1097.92,-28.50%,-0.21%,,736,2.12%,,,,,,
04-12-2025,1535.60,29.29%,-0.21%,,737,2.01%,,,,,,
11-04-2022,1187.67,-18.57%,-0.21%,,738,-0.79%,,,,,,
10-02-2026,1458.50,31.26%,-0.21%,,739,1.85%,,,,,,
18-05-2023,1111.14,-4.96%,-0.22%,,740,-2.67%,,,,,,
17-11-2023,1169.12,-21.08%,-0.22%,,741,1.90%,,,,,,
25-07-2024,1481.44,27.34%,-0.22%,,742,3.70%,,,,,,
16-10-2023,1163.41,-22.66%,-0.22%,,743,0.20%,,,,,,
07-01-2026,1504.20,-4.13%,-0.23%,,744,1.40%,,,,,,
11-07-2024,1569.04,7.70%,-0.23%,,745,2.14%,,,,,,
21-02-2024,1456.92,30.00%,-0.23%,,746,1.48%,,,,,,
25-10-2023,1120.68,1.54%,-0.23%,,747,3.21%,,,,,,
09-09-2021,1103.68,-19.66%,-0.24%,,748,2.03%,,,,,,
14-08-2025,1373.80,30.51%,-0.24%,,749,2.53%,,,,,,
07-02-2023,1052.64,-0.86%,-0.24%,,750,2.15%,,,,,,
05-04-2023,1061.74,-16.40%,-0.24%,,751,2.84%,,,,,,
